Race_ID,Driver,LapNumber,Finishing_Tier,GridPosition,Tire_Age,Fuel_Mass_Proxy,Degradation_x_Fuel,Tire_MEDIUM,Tire_SOFT
2023_Bahrain,VER,56.0,Podium,1.0,20.0,1.9298245614035068,-273.9963572124756,0,0
2023_Bahrain,VER,57.0,Podium,1.0,21.0,0.0,-339.75791666666663,0,0
2023_Bahrain,GAS,1.0,No Points,20.0,1.0,108.0701754385965,-725.6670784600392,0,1
2023_Bahrain,GAS,2.0,No Points,20.0,2.0,106.14035087719299,-648.6216203703706,0,1
2023_Bahrain,GAS,3.0,No Points,20.0,3.0,104.21052631578948,-575.435811403509,0,1
2023_Bahrain,GAS,4.0,No Points,20.0,4.0,102.28070175438596,-506.1096515594542,0,1
2023_Bahrain,GAS,5.0,No Points,20.0,5.0,100.35087719298245,-440.6431408382067,0,1
2023_Bahrain,GAS,6.0,No Points,20.0,6.0,98.42105263157895,-379.03627923976615,0,1
2023_Bahrain,GAS,7.0,No Points,20.0,7.0,96.49122807017544,-321.28906676413266,0,1
2023_Bahrain,GAS,8.0,No Points,20.0,8.0,94.56140350877193,-267.4015034113061,0,1
2023_Bahrain,GAS,9.0,No Points,20.0,9.0,92.63157894736842,-217.37358918128663,0,1
2023_Bahrain,GAS,10.0,No Points,20.0,1.0,90.7017543859649,-483.7153240740741,0,0
2023_Bahrain,GAS,11.0,No Points,20.0,2.0,88.7719298245614,-424.0382870370371,0,0
2023_Bahrain,GAS,12.0,No Points,20.0,3.0,86.84210526315789,-368.2208991228071,0,0
2023_Bahrain,GAS,13.0,No Points,20.0,4.0,84.91228070175438,-316.2631603313841,0,0
2023_Bahrain,GAS,14.0,No Points,20.0,5.0,82.98245614035088,-268.16507066276813,0,0
2023_Bahrain,GAS,15.0,No Points,20.0,6.0,81.05263157894737,-223.9266301169592,0,0
2023_Bahrain,GAS,16.0,No Points,20.0,7.0,79.12280701754386,-183.54783869395723,0,0
2023_Bahrain,GAS,17.0,No Points,20.0,8.0,77.19298245614036,-147.0286963937623,0,0
2023_Bahrain,GAS,18.0,No Points,20.0,9.0,75.26315789473685,-114.36920321637437,0,0
2023_Bahrain,GAS,19.0,No Points,20.0,10.0,73.33333333333334,-85.56935916179347,0,0
2023_Bahrain,GAS,20.0,No Points,20.0,11.0,71.40350877192982,-60.629164230019526,0,0
2023_Bahrain,GAS,21.0,No Points,20.0,12.0,69.47368421052632,-39.54861842105266,0,0
2023_Bahrain,GAS,22.0,No Points,20.0,13.0,67.54385964912281,-22.32772173489281,0,0
2023_Bahrain,GAS,23.0,No Points,20.0,14.0,65.6140350877193,-8.966474171539973,0,0
2023_Bahrain,GAS,24.0,No Points,20.0,15.0,63.68421052631579,0.5351242690058501,0,0
2023_Bahrain,GAS,25.0,No Points,20.0,16.0,61.75438596491228,6.177073586744653,0,0
2023_Bahrain,GAS,26.0,No Points,20.0,1.0,59.824561403508774,-53.578871832358864,0,0
2023_Bahrain,GAS,27.0,No Points,20.0,2.0,57.89473684210526,-24.779027777777888,0,0
2023_Bahrain,GAS,28.0,No Points,20.0,3.0,55.96491228070175,0.16116715399597709,0,0
2023_Bahrain,GAS,29.0,No Points,20.0,4.0,54.03508771929825,21.241712962962826,0,0
2023_Bahrain,GAS,30.0,No Points,20.0,5.0,52.10526315789474,38.46260964912266,0,0
2023_Bahrain,GAS,31.0,No Points,20.0,6.0,50.175438596491226,51.82385721247555,0,0
2023_Bahrain,GAS,32.0,No Points,20.0,7.0,48.24561403508772,61.32545565302135,0,0
2023_Bahrain,GAS,33.0,No Points,20.0,8.0,46.31578947368421,66.96740497076014,0,0
2023_Bahrain,GAS,34.0,No Points,20.0,9.0,44.3859649122807,68.74970516569196,0,0
2023_Bahrain,GAS,35.0,No Points,20.0,10.0,42.45614035087719,66.67235623781671,0,0
2023_Bahrain,GAS,36.0,No Points,20.0,11.0,40.526315789473685,60.73535818713445,0,0
2023_Bahrain,GAS,37.0,No Points,20.0,12.0,38.59649122807018,50.93871101364518,0,0
2023_Bahrain,GAS,38.0,No Points,20.0,13.0,36.66666666666667,37.28241471734889,0,0
2023_Bahrain,GAS,39.0,No Points,20.0,14.0,34.736842105263165,19.766469298245593,0,0
2023_Bahrain,GAS,40.0,Point Scorer,20.0,15.0,32.807017543859644,-1.6091252436647214,0,0
2023_Bahrain,GAS,41.0,Point Scorer,20.0,1.0,30.877192982456137,349.6740521442494,0,1
2023_Bahrain,GAS,42.0,Point Scorer,20.0,2.0,28.94736842105263,349.52652777777763,0,1
2023_Bahrain,GAS,43.0,Point Scorer,20.0,3.0,27.017543859649123,345.5193542884989,0,1
2023_Bahrain,GAS,44.0,Point Scorer,20.0,4.0,25.087719298245617,337.6525316764131,0,1
2023_Bahrain,GAS,45.0,Point Scorer,20.0,5.0,23.15789473684211,325.9260599415203,0,1
2023_Bahrain,GAS,46.0,Point Scorer,20.0,6.0,21.228070175438603,310.33993908382047,0,1
2023_Bahrain,GAS,47.0,Point Scorer,20.0,7.0,19.298245614035082,290.8941691033138,0,1
2023_Bahrain,GAS,48.0,Point Scorer,20.0,8.0,17.368421052631575,267.58874999999995,0,1
2023_Bahrain,GAS,49.0,Point Scorer,20.0,9.0,15.438596491228068,240.42368177387908,0,1
2023_Bahrain,GAS,50.0,Point Scorer,20.0,10.0,13.508771929824562,209.3989644249512,0,1
2023_Bahrain,GAS,51.0,Point Scorer,20.0,11.0,11.578947368421055,174.5145979532163,0,1
2023_Bahrain,GAS,52.0,Point Scorer,20.0,12.0,9.649122807017548,135.7705823586744,0,1
2023_Bahrain,GAS,53.0,Point Scorer,20.0,13.0,7.719298245614041,93.1669176413255,0,1
2023_Bahrain,GAS,54.0,Point Scorer,20.0,14.0,5.78947368421052,46.70360380116958,0,1
2023_Bahrain,GAS,55.0,Point Scorer,20.0,15.0,3.8596491228070136,-3.619359161793382,0,1
2023_Bahrain,GAS,56.0,Point Scorer,20.0,16.0,1.9298245614035068,-57.80197124756335,0,1
2023_Bahrain,GAS,57.0,Point Scorer,20.0,17.0,0.0,-115.84423245614033,0,1
2023_Bahrain,PER,1.0,Podium,2.0,4.0,108.0701754385965,-569.3918153021444,0,1
2023_Bahrain,PER,2.0,Podium,2.0,5.0,106.14035087719299,-498.1358308966863,0,1
2023_Bahrain,PER,3.0,Podium,2.0,6.0,104.21052631578948,-430.7394956140352,0,1
2023_Bahrain,PER,4.0,Podium,2.0,7.0,102.28070175438596,-367.2028094541911,0,1
2023_Bahrain,PER,5.0,Podium,2.0,8.0,100.35087719298245,-307.52577241715403,0,1
2023_Bahrain,PER,6.0,Podium,2.0,9.0,98.42105263157895,-251.70838450292402,0,1
2023_Bahrain,PER,7.0,Podium,2.0,10.0,96.49122807017544,-199.75064571150102,0,1
2023_Bahrain,PER,8.0,Podium,2.0,11.0,94.56140350877193,-151.65255604288504,0,1
2023_Bahrain,PER,9.0,Podium,2.0,12.0,92.63157894736842,-107.41411549707605,0,1
2023_Bahrain,PER,10.0,Podium,2.0,13.0,90.7017543859649,-67.03532407407407,0,1
2023_Bahrain,PER,11.0,Podium,2.0,14.0,88.7719298245614,-30.51618177387914,0,1
2023_Bahrain,PER,12.0,Podium,2.0,15.0,86.84210526315789,2.1433114035087786,0,1
2023_Bahrain,PER,13.0,Podium,2.0,16.0,84.91228070175438,30.943155458089684,0,1
2023_Bahrain,PER,14.0,Podium,2.0,17.0,82.98245614035088,55.88335038986357,0,1
2023_Bahrain,PER,15.0,Podium,2.0,18.0,81.05263157894737,76.96389619883045,0,1
2023_Bahrain,PER,16.0,Podium,2.0,19.0,79.12280701754386,94.18479288499032,0,1
2023_Bahrain,PER,17.0,Podium,2.0,20.0,77.19298245614036,107.54604044834316,0,1
2023_Bahrain,PER,18.0,Podium,2.0,3.0,75.26315789473685,-230.07762426900607,0,1
2023_Bahrain,PER,19.0,Podium,2.0,4.0,73.33333333333334,-189.69883284600414,0,1
